RecordNumber,EventRecordId,TimeCreated,EventId,Level,Provider,Channel,ProcessId,ThreadId,Computer,ChunkNumber,UserId,MapDescription,UserName,RemoteHost,PayloadData1,PayloadData2,PayloadData3,PayloadData4,PayloadData5,PayloadData6,ExecutableInfo,HiddenRecord,SourceFile,Keywords,ExtraDataOffset,Payload
81,81,2024-03-13 05:08:43.9132471,41,Info,Microsoft-Windows-TerminalServices-LocalSessionManager,Microsoft-Windows-TerminalServices-LocalSessionManager/Operational,640,860,wef.windomain.local,0,S-1-5-18,RDP Begin session arbitration,,,Target: WEF\vagrant,Session ID: 1,,,,ActivityID: 61a55000-55e5-1017-0000-000000000000,,False,C:\lab\Tools\EvtxECmd\FileServer\Microsoft-Windows-TerminalServices-LocalSessionManager%4Operational.evtx,0x1000000000000000,0,"{""UserData"":{""EventXML"":{""User"":""WEF\\vagrant"",""SessionID"":""1""}}}"
82,82,2024-03-13 05:08:43.9186920,42,Info,Microsoft-Windows-TerminalServices-LocalSessionManager,Microsoft-Windows-TerminalServices-LocalSessionManager/Operational,640,860,wef.windomain.local,0,S-1-5-18,,,,,,,,,,,False,C:\lab\Tools\EvtxECmd\FileServer\Microsoft-Windows-TerminalServices-LocalSessionManager%4Operational.evtx,0x1000000000000000,0,"{""UserData"":{""EventXML"":{""User"":""WEF\\vagrant"",""SessionID"":""1""}}}"
83,83,2024-03-13 05:08:44.0827547,21,Info,Microsoft-Windows-TerminalServices-LocalSessionManager,Microsoft-Windows-TerminalServices-LocalSessionManager/Operational,640,860,wef.windomain.local,0,S-1-5-18,Remote Desktop Services: Session logon succeeded,WEF\vagrant,LOCAL,Session ID: 1,,,,,,,False,C:\lab\Tools\EvtxECmd\FileServer\Microsoft-Windows-TerminalServices-LocalSessionManager%4Operational.evtx,0x1000000000000000,0,"{""UserData"":{""EventXML"":{""User"":""WEF\\vagrant"",""SessionID"":""1"",""Address"":""LOCAL""}}}"
84,84,2024-03-13 05:08:44.2801782,22,Info,Microsoft-Windows-TerminalServices-LocalSessionManager,Microsoft-Windows-TerminalServices-LocalSessionManager/Operational,640,676,wef.windomain.local,0,S-1-5-18,Remote Desktop Services: Shell start notification received,WEF\vagrant,LOCAL,,,,,,,,False,C:\lab\Tools\EvtxECmd\FileServer\Microsoft-Windows-TerminalServices-LocalSessionManager%4Operational.evtx,0x1000000000000000,0,"{""UserData"":{""EventXML"":{""User"":""WEF\\vagrant"",""SessionID"":""1"",""Address"":""LOCAL""}}}"
85,85,2024-03-13 05:14:49.3303125,41,Info,Microsoft-Windows-TerminalServices-LocalSessionManager,Microsoft-Windows-TerminalServices-LocalSessionManager/Operational,640,3380,wef.windomain.local,0,S-1-5-18,RDP Begin session arbitration,,,Target: WEF\vagrant,Session ID: 2,,,,ActivityID: f42003df-7b76-4dc6-b7ab-854882dd0000,,False,C:\lab\Tools\EvtxECmd\FileServer\Microsoft-Windows-TerminalServices-LocalSessionManager%4Operational.evtx,0x1000000000000000,0,"{""UserData"":{""EventXML"":{""User"":""WEF\\vagrant"",""SessionID"":""2""}}}"
86,86,2024-03-13 05:14:51.1863146,40,Info,Microsoft-Windows-TerminalServices-LocalSessionManager,Microsoft-Windows-TerminalServices-LocalSessionManager/Operational,640,3380,wef.windomain.local,0,S-1-5-18,"Session (PayloadData1) has been disconnected, reason code (PayloadData2)",,,Session: 2,Reason: The disconnection was initiated by the user logging off his or her session on the server,,,,,,False,C:\lab\Tools\EvtxECmd\FileServer\Microsoft-Windows-TerminalServices-LocalSessionManager%4Operational.evtx,0x1000000000000000,0,"{""UserData"":{""EventXML"":{""Session"":""2"",""Reason"":""12""}}}"
87,87,2024-03-13 05:16:24.8458429,41,Info,Microsoft-Windows-TerminalServices-LocalSessionManager,Microsoft-Windows-TerminalServices-LocalSessionManager/Operational,640,3388,wef.windomain.local,0,S-1-5-18,RDP Begin session arbitration,,,Target: WINDOMAIN\vagrant,Session ID: 2,,,,ActivityID: f420062b-41ec-45b2-aa99-475e47ce0000,,False,C:\lab\Tools\EvtxECmd\FileServer\Microsoft-Windows-TerminalServices-LocalSessionManager%4Operational.evtx,0x1000000000000000,0,"{""UserData"":{""EventXML"":{""User"":""WINDOMAIN\\vagrant"",""SessionID"":""2""}}}"
88,88,2024-03-13 05:16:24.8492906,42,Info,Microsoft-Windows-TerminalServices-LocalSessionManager,Microsoft-Windows-TerminalServices-LocalSessionManager/Operational,640,3388,wef.windomain.local,0,S-1-5-18,,,,,,,,,,,False,C:\lab\Tools\EvtxECmd\FileServer\Microsoft-Windows-TerminalServices-LocalSessionManager%4Operational.evtx,0x1000000000000000,0,"{""UserData"":{""EventXML"":{""User"":""WINDOMAIN\\vagrant"",""SessionID"":""2""}}}"
89,89,2024-03-13 05:16:26.3802643,21,Info,Microsoft-Windows-TerminalServices-LocalSessionManager,Microsoft-Windows-TerminalServices-LocalSessionManager/Operational,640,3388,wef.windomain.local,0,S-1-5-18,Remote Desktop Services: Session logon succeeded,WINDOMAIN\vagrant,192.168.56.102,Session ID: 2,,,,,,,False,C:\lab\Tools\EvtxECmd\FileServer\Microsoft-Windows-TerminalServices-LocalSessionManager%4Operational.evtx,0x1000000000000000,0,"{""UserData"":{""EventXML"":{""User"":""WINDOMAIN\\vagrant"",""SessionID"":""2"",""Address"":""192.168.56.102""}}}"
90,90,2024-03-13 05:16:26.6528702,22,Info,Microsoft-Windows-TerminalServices-LocalSessionManager,Microsoft-Windows-TerminalServices-LocalSessionManager/Operational,640,1136,wef.windomain.local,0,S-1-5-18,Remote Desktop Services: Shell start notification received,WINDOMAIN\vagrant,192.168.56.102,,,,,,,,False,C:\lab\Tools\EvtxECmd\FileServer\Microsoft-Windows-TerminalServices-LocalSessionManager%4Operational.evtx,0x1000000000000000,0,"{""UserData"":{""EventXML"":{""User"":""WINDOMAIN\\vagrant"",""SessionID"":""2"",""Address"":""192.168.56.102""}}}"
