BatchKeyPath,BatchValueName,ProgramName,RunCounter,FocusCount,FocusTime,LastExecuted
ROOT\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\UserAssist\{CEBFF5CD-ACE2-4F4F-9178-9926F41749EA}\Count,HRZR_PGYPHNPbhag:pgbe,UEME_CTLCUACount:ctor,0,0,"0d, 0h, 00m, 00s",
ROOT\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\UserAssist\{CEBFF5CD-ACE2-4F4F-9178-9926F41749EA}\Count,{1NP14R77-02R7-4R5Q-O744-2RO1NR5198O7}\FavccvatGbby.rkr,{System32}\SnippingTool.exe,14,21,"0d, 0h, 07m, 00s",2024-03-19 01:06:19.0340819
ROOT\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\UserAssist\{CEBFF5CD-ACE2-4F4F-9178-9926F41749EA}\Count,HRZR_PGYFRFFVBA,UEME_CTLSESSION,63,164,"0d, 2h, 01m, 24s",
ROOT\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\UserAssist\{CEBFF5CD-ACE2-4F4F-9178-9926F41749EA}\Count,{1NP14R77-02R7-4R5Q-O744-2RO1NR5198O7}\zfcnvag.rkr,{System32}\mspaint.exe,8,12,"0d, 0h, 04m, 00s",2024-03-19 01:06:19.0340819
ROOT\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\UserAssist\{CEBFF5CD-ACE2-4F4F-9178-9926F41749EA}\Count,{1NP14R77-02R7-4R5Q-O744-2RO1NR5198O7}\abgrcnq.rkr,{System32}\notepad.exe,8,12,"0d, 0h, 03m, 36s",2024-03-19 02:17:26.9860000
ROOT\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\UserAssist\{CEBFF5CD-ACE2-4F4F-9178-9926F41749EA}\Count,{1NP14R77-02R7-4R5Q-O744-2RO1NR5198O7}\pzq.rkr,{System32}\cmd.exe,3,10,"0d, 0h, 08m, 20s",2024-03-19 02:09:43.3300000
ROOT\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\UserAssist\{CEBFF5CD-ACE2-4F4F-9178-9926F41749EA}\Count,Zvpebfbsg.Jvaqbjf.Rkcybere,Microsoft.Windows.Explorer,18,53,"0d, 0h, 23m, 36s",2024-03-19 03:06:12.5480000
ROOT\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\UserAssist\{CEBFF5CD-ACE2-4F4F-9178-9926F41749EA}\Count,Puebzr,Chrome,4,10,"0d, 0h, 13m, 11s",2024-03-19 02:14:43.8920000
ROOT\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\UserAssist\{CEBFF5CD-ACE2-4F4F-9178-9926F41749EA}\Count,Zvpebfbsg.NhgbTrarengrq.{923QQ477-5846-686O-N659-0SPPQ73851N8},Microsoft.AutoGenerated.{Unmapped GUID: 923DD477-5846-686B-A659-0FCCD73851A8},0,2,"0d, 0h, 00m, 38s",
ROOT\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\UserAssist\{CEBFF5CD-ACE2-4F4F-9178-9926F41749EA}\Count,{S38OS404-1Q43-42S2-9305-67QR0O28SP23}\FlfgrzNccf\Zvpebfbsg.Jvaqbjf.Pbegnan_pj5a1u2gklrjl\FrnepuHV.rkr,{Windows}\SystemApps\Microsoft.Windows.Cortana_cw5n1h2txyewy\SearchUI.exe,0,6,"0d, 0h, 00m, 47s",
ROOT\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\UserAssist\{CEBFF5CD-ACE2-4F4F-9178-9926F41749EA}\Count,{6Q809377-6NS0-444O-8957-N3773S02200R}\Jvaqbjf Qrsraqre\ZFNFPhv.rkr,{Program Files}\Windows Defender\MSASCui.exe,2,2,"0d, 0h, 00m, 17s",2024-03-19 01:52:20.3300000
ROOT\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\UserAssist\{CEBFF5CD-ACE2-4F4F-9178-9926F41749EA}\Count,jvaqbjf.vzzrefvirpbagebycnary_pj5a1u2gklrjl!zvpebfbsg.jvaqbjf.vzzrefvirpbagebycnary,windows.immersivecontrolpanel_cw5n1h2txyewy!microsoft.windows.immersivecontrolpanel,0,2,"0d, 0h, 00m, 37s",
ROOT\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\UserAssist\{CEBFF5CD-ACE2-4F4F-9178-9926F41749EA}\Count,P:\Hfref\nqzvavfgengbe\Qbjaybnqf\aznc-7.94-frghc.rkr,C:\Users\administrator\Downloads\nmap-7.94-setup.exe,1,2,"0d, 0h, 00m, 29s",2024-03-19 01:26:08.3770000
ROOT\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\UserAssist\{CEBFF5CD-ACE2-4F4F-9178-9926F41749EA}\Count,P:\Hfref\nqzvavfgengbe\NccQngn\Ybpny\Grzc\afhNS6P.gzc\acpnc-1.75.rkr,C:\Users\administrator\AppData\Local\Temp\nsuAF6C.tmp\npcap-1.75.exe,0,3,"0d, 0h, 01m, 04s",
ROOT\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\UserAssist\{CEBFF5CD-ACE2-4F4F-9178-9926F41749EA}\Count,{6Q809377-6NS0-444O-8957-N3773S02200R}\Acpnc\ACSVafgnyy.rkr,{Program Files}\Npcap\NPFInstall.exe,0,0,"0d, 0h, 00m, 00s",
ROOT\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\UserAssist\{CEBFF5CD-ACE2-4F4F-9178-9926F41749EA}\Count,Zvpebfbsg.NhgbTrarengrq.{Q2872QSR-4RP4-PQ29-R597-62SO105R7SQN},Microsoft.AutoGenerated.{Unmapped GUID: D2872DFE-4EC4-CD29-E597-62FB105E7FDA},1,4,"0d, 0h, 01m, 55s",2024-03-19 01:28:04.0330000
ROOT\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\UserAssist\{CEBFF5CD-ACE2-4F4F-9178-9926F41749EA}\Count,{S38OS404-1Q43-42S2-9305-67QR0O28SP23}\FlfgrzNccf\FuryyRkcrevraprUbfg_pj5a1u2gklrjl\FuryyRkcrevraprUbfg.rkr,{Windows}\SystemApps\ShellExperienceHost_cw5n1h2txyewy\ShellExperienceHost.exe,0,6,"0d, 0h, 01m, 52s",
ROOT\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\UserAssist\{CEBFF5CD-ACE2-4F4F-9178-9926F41749EA}\Count,{1NP14R77-02R7-4R5Q-O744-2RO1NR5198O7}\JvaqbjfCbjreFuryy\i1.0\cbjrefuryy.rkr,{System32}\WindowsPowerShell\v1.0\powershell.exe,1,7,"0d, 0h, 12m, 37s",2024-03-19 01:33:35.6270000
ROOT\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\UserAssist\{CEBFF5CD-ACE2-4F4F-9178-9926F41749EA}\Count,{S38OS404-1Q43-42S2-9305-67QR0O28SP23}\ertrqvg.rkr,{Windows}\regedit.exe,1,2,"0d, 0h, 00m, 40s",2024-03-19 01:41:12.1270000
ROOT\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\UserAssist\{CEBFF5CD-ACE2-4F4F-9178-9926F41749EA}\Count,P:\Hfref\nqzvavfgengbe\Qbjaybnqf\7m2401-k64.rkr,C:\Users\administrator\Downloads\7z2401-x64.exe,1,1,"0d, 0h, 00m, 03s",2024-03-19 02:14:06.0020000
ROOT\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\UserAssist\{CEBFF5CD-ACE2-4F4F-9178-9926F41749EA}\Count,{6Q809377-6NS0-444O-8957-N3773S02200R}\7-Mvc\7mT.rkr,{Program Files}\7-Zip\7zG.exe,0,1,"0d, 0h, 00m, 32s",
ROOT\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\UserAssist\{CEBFF5CD-ACE2-4F4F-9178-9926F41749EA}\Count,Zvpebfbsg.Jvaqbjf.ErzbgrQrfxgbc,Microsoft.Windows.RemoteDesktop,1,5,"0d, 0h, 38m, 41s",2024-03-19 02:28:18.5810000
ROOT\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\UserAssist\{CEBFF5CD-ACE2-4F4F-9178-9926F41749EA}\Count,P:\Hfref\nqzvavfgengbe\Qbjaybnqf\GrnzIvrjre_Ubfg_Frghc_k64.rkr,C:\Users\administrator\Downloads\TeamViewer_Host_Setup_x64.exe,1,1,"0d, 0h, 00m, 13s",2024-03-19 02:32:30.7830000
ROOT\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\UserAssist\{CEBFF5CD-ACE2-4F4F-9178-9926F41749EA}\Count,{6Q809377-6NS0-444O-8957-N3773S02200R}\GrnzIvrjre\GrnzIvrjre.rkr,{Program Files}\TeamViewer\TeamViewer.exe,0,1,"0d, 0h, 00m, 49s",
ROOT\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\UserAssist\{CEBFF5CD-ACE2-4F4F-9178-9926F41749EA}\Count,{1NP14R77-02R7-4R5Q-O744-2RO1NR5198O7}\PerqragvnyHVOebxre.rkr,{System32}\CredentialUIBroker.exe,0,1,"0d, 0h, 00m, 20s",
ROOT\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\UserAssist\{F4E57C4B-2036-45F0-A9AB-443BCFE33D9F}\Count,HRZR_PGYPHNPbhag:pgbe,UEME_CTLCUACount:ctor,0,0,"0d, 0h, 00m, 00s",
ROOT\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\UserAssist\{F4E57C4B-2036-45F0-A9AB-443BCFE33D9F}\Count,{0139Q44R-6NSR-49S2-8690-3QNSPNR6SSO8}\Npprffbevrf\Favccvat Gbby.yax,{Common Programs}\Accessories\Snipping Tool.lnk,14,0,"0d, 0h, 00m, 00s",2024-03-19 01:06:19.0340819
ROOT\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\UserAssist\{F4E57C4B-2036-45F0-A9AB-443BCFE33D9F}\Count,HRZR_PGYFRFFVBA,UEME_CTLSESSION,55,0,"0d, 0h, 00m, 00s",
ROOT\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\UserAssist\{F4E57C4B-2036-45F0-A9AB-443BCFE33D9F}\Count,{0139Q44R-6NSR-49S2-8690-3QNSPNR6SSO8}\Npprffbevrf\Cnvag.yax,{Common Programs}\Accessories\Paint.lnk,8,0,"0d, 0h, 00m, 00s",2024-03-19 01:06:19.0340819
ROOT\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\UserAssist\{F4E57C4B-2036-45F0-A9AB-443BCFE33D9F}\Count,{N77S5Q77-2R2O-44P3-N6N2-NON601054N51}\Npprffbevrf\Abgrcnq.yax,{Programs}\Accessories\Notepad.lnk,3,0,"0d, 0h, 00m, 00s",2024-03-19 02:17:26.9860000
ROOT\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\UserAssist\{F4E57C4B-2036-45F0-A9AB-443BCFE33D9F}\Count,{9R3995NO-1S9P-4S13-O827-48O24O6P7174}\GnfxOne\Pbzznaq Cebzcg.yax,{User Pinned}\TaskBar\Command Prompt.lnk,3,0,"0d, 0h, 00m, 00s",2024-03-19 02:09:43.3300000
