SourceFile,SourceCreated,SourceModified,SourceAccessed,AppId,AppIdDescription,HasSps,DestListVersion,LastUsedEntryNumber,MRU,EntryNumber,CreationTime,LastModified,Hostname,MacAddress,Path,InteractionCount,PinStatus,FileBirthDroid,FileDroid,VolumeBirthDroid,VolumeDroid,TargetCreated,TargetModified,TargetAccessed,FileSize,RelativePath,WorkingDirectory,FileAttributes,HeaderFlags,DriveType,VolumeSerialNumber,VolumeLabel,LocalPath,CommonPath,TargetIDAbsolutePath,TargetMFTEntryNumber,TargetMFTSequenceNumber,MachineID,MachineMACAddress,TrackerCreatedOn,ExtraBlocksPresent,Arguments,Notes
C:\lab\Tools\JLECmd\FileServer\5d696d521de238c3.automaticDestinations-ms,2024-04-28 20:03:06,2024-04-28 20:03:06,2024-04-29 03:07:36,5d696d521de238c3,Google Chrome 9.0.597.84 / 12.0.742.100 / 13.0.785.215 / 48.0.2564.116,False,4,11,0,B,2024-03-19 00:12:08,2024-03-19 02:39:21,wef,08:00:27:12:d5:85,C:\fileshare\Taxes\daniel_b_2024-03-13.pdf,1,False,5356b018-e585-11ee-85d5-08002712d585,5356b018-e585-11ee-85d5-08002712d585,79f7d2da-0178-4725-ba2f-d18f2b6bbd33,79f7d2da-0178-4725-ba2f-d18f2b6bbd33,2024-03-13 22:28:19,2024-03-13 22:28:19,2024-03-13 22:28:19,1164,,,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, IsUnicode, DisableKnownFolderTracking, AllowLinkToLink",Fixed storage media (Hard drive),360558BB,OS Drive,C:\fileshare\,Taxes\daniel_b_2024-03-13.pdf,My Computer\C:\fileshare\Taxes\daniel_b_2024-03-13.pdf,0x1A7A4,0x3,wef,08:00:27:12:d5:85,2024-03-19 00:12:08,"TrackerDataBaseBlock, PropertyStoreDataBlock",,
C:\lab\Tools\JLECmd\FileServer\5d696d521de238c3.automaticDestinations-ms,2024-04-28 20:03:06,2024-04-28 20:03:06,2024-04-29 03:07:36,5d696d521de238c3,Google Chrome 9.0.597.84 / 12.0.742.100 / 13.0.785.215 / 48.0.2564.116,False,4,11,1,A,2024-03-19 00:12:08,2024-03-19 02:39:10,wef,08:00:27:12:d5:85,C:\fileshare\Taxes\jane_j_2024-03-13.pdf,1,False,5356b011-e585-11ee-85d5-08002712d585,5356b011-e585-11ee-85d5-08002712d585,79f7d2da-0178-4725-ba2f-d18f2b6bbd33,79f7d2da-0178-4725-ba2f-d18f2b6bbd33,2024-03-13 22:28:19,2024-03-13 22:28:19,2024-03-13 22:28:19,1159,,,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, IsUnicode, DisableKnownFolderTracking, AllowLinkToLink",Fixed storage media (Hard drive),360558BB,OS Drive,C:\fileshare\,Taxes\jane_j_2024-03-13.pdf,My Computer\C:\fileshare\Taxes\jane_j_2024-03-13.pdf,0x1A7AD,0x3,wef,08:00:27:12:d5:85,2024-03-19 00:12:08,"TrackerDataBaseBlock, PropertyStoreDataBlock",,
C:\lab\Tools\JLECmd\FileServer\5d696d521de238c3.automaticDestinations-ms,2024-04-28 20:03:06,2024-04-28 20:03:06,2024-04-29 03:07:36,5d696d521de238c3,Google Chrome 9.0.597.84 / 12.0.742.100 / 13.0.785.215 / 48.0.2564.116,False,4,11,2,9,2024-03-19 00:12:08,2024-03-19 02:38:53,wef,08:00:27:12:d5:85,C:\fileshare\Taxes\daniel_j_2024-03-13.pdf,1,False,5356b00b-e585-11ee-85d5-08002712d585,5356b00b-e585-11ee-85d5-08002712d585,79f7d2da-0178-4725-ba2f-d18f2b6bbd33,79f7d2da-0178-4725-ba2f-d18f2b6bbd33,2024-03-13 22:28:19,2024-03-13 22:28:19,2024-03-13 22:28:19,1158,,,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, IsUnicode, DisableKnownFolderTracking, AllowLinkToLink",Fixed storage media (Hard drive),360558BB,OS Drive,C:\fileshare\,Taxes\daniel_j_2024-03-13.pdf,My Computer\C:\fileshare\Taxes\daniel_j_2024-03-13.pdf,0x1A7A6,0x3,wef,08:00:27:12:d5:85,2024-03-19 00:12:08,"TrackerDataBaseBlock, PropertyStoreDataBlock",,
C:\lab\Tools\JLECmd\FileServer\5d696d521de238c3.automaticDestinations-ms,2024-04-28 20:03:06,2024-04-28 20:03:06,2024-04-29 03:07:36,5d696d521de238c3,Google Chrome 9.0.597.84 / 12.0.742.100 / 13.0.785.215 / 48.0.2564.116,False,4,11,3,8,2024-03-19 00:12:08,2024-03-19 02:38:33,wef,08:00:27:12:d5:85,C:\fileshare\Payroll\emily_b_2023-11-30.pdf,1,False,5356b003-e585-11ee-85d5-08002712d585,5356b003-e585-11ee-85d5-08002712d585,79f7d2da-0178-4725-ba2f-d18f2b6bbd33,79f7d2da-0178-4725-ba2f-d18f2b6bbd33,2024-03-13 22:27:57,2024-03-13 22:27:57,2024-03-13 22:27:57,17071,,,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, IsUnicode, DisableKnownFolderTracking, AllowLinkToLink",Fixed storage media (Hard drive),360558BB,OS Drive,C:\fileshare\,Payroll\emily_b_2023-11-30.pdf,My Computer\C:\fileshare\Payroll\emily_b_2023-11-30.pdf,0x1A44C,0x5,wef,08:00:27:12:d5:85,2024-03-19 00:12:08,"TrackerDataBaseBlock, PropertyStoreDataBlock",,
C:\lab\Tools\JLECmd\FileServer\5d696d521de238c3.automaticDestinations-ms,2024-04-28 20:03:06,2024-04-28 20:03:06,2024-04-29 03:07:36,5d696d521de238c3,Google Chrome 9.0.597.84 / 12.0.742.100 / 13.0.785.215 / 48.0.2564.116,False,4,11,4,7,2024-03-19 00:12:08,2024-03-19 02:38:21,wef,08:00:27:12:d5:85,C:\fileshare\Payroll\daniel_t_2023-09-24.pdf,1,False,5356affe-e585-11ee-85d5-08002712d585,5356affe-e585-11ee-85d5-08002712d585,79f7d2da-0178-4725-ba2f-d18f2b6bbd33,79f7d2da-0178-4725-ba2f-d18f2b6bbd33,2024-03-13 22:27:57,2024-03-13 22:27:57,2024-03-13 22:27:57,17077,,,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, IsUnicode, DisableKnownFolderTracking, AllowLinkToLink",Fixed storage media (Hard drive),360558BB,OS Drive,C:\fileshare\,Payroll\daniel_t_2023-09-24.pdf,My Computer\C:\fileshare\Payroll\daniel_t_2023-09-24.pdf,0x1A341,0x5,wef,08:00:27:12:d5:85,2024-03-19 00:12:08,"TrackerDataBaseBlock, PropertyStoreDataBlock",,
C:\lab\Tools\JLECmd\FileServer\5d696d521de238c3.automaticDestinations-ms,2024-04-28 20:03:06,2024-04-28 20:03:06,2024-04-29 03:07:36,5d696d521de238c3,Google Chrome 9.0.597.84 / 12.0.742.100 / 13.0.785.215 / 48.0.2564.116,False,4,11,5,6,2024-03-19 00:12:08,2024-03-19 02:38:11,wef,08:00:27:12:d5:85,C:\fileshare\Payroll\chris_j_2023-11-02.pdf,1,False,5356afef-e585-11ee-85d5-08002712d585,5356afef-e585-11ee-85d5-08002712d585,79f7d2da-0178-4725-ba2f-d18f2b6bbd33,79f7d2da-0178-4725-ba2f-d18f2b6bbd33,2024-03-13 22:27:57,2024-03-13 22:27:57,2024-03-13 22:27:57,17075,,,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, IsUnicode, DisableKnownFolderTracking, AllowLinkToLink",Fixed storage media (Hard drive),360558BB,OS Drive,C:\fileshare\,Payroll\chris_j_2023-11-02.pdf,My Computer\C:\fileshare\Payroll\chris_j_2023-11-02.pdf,0x1A299,0x6,wef,08:00:27:12:d5:85,2024-03-19 00:12:08,"TrackerDataBaseBlock, PropertyStoreDataBlock",,
C:\lab\Tools\JLECmd\FileServer\5d696d521de238c3.automaticDestinations-ms,2024-04-28 20:03:06,2024-04-28 20:03:06,2024-04-29 03:07:36,5d696d521de238c3,Google Chrome 9.0.597.84 / 12.0.742.100 / 13.0.785.215 / 48.0.2564.116,False,4,11,6,5,2024-03-19 00:12:08,2024-03-19 02:37:50,wef,08:00:27:12:d5:85,C:\fileshare\Design_documents\Design_20240313_PACB7376.pdf,1,False,5356afe0-e585-11ee-85d5-08002712d585,5356afe0-e585-11ee-85d5-08002712d585,79f7d2da-0178-4725-ba2f-d18f2b6bbd33,79f7d2da-0178-4725-ba2f-d18f2b6bbd33,2024-03-13 22:45:44,2024-03-13 22:45:44,2024-03-13 22:45:44,190208,,,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, IsUnicode, DisableKnownFolderTracking, AllowLinkToLink",Fixed storage media (Hard drive),360558BB,OS Drive,C:\fileshare\,Design_documents\Design_20240313_PACB7376.pdf,My Computer\C:\fileshare\Design_documents\Design_20240313_PACB7376.pdf,0x1A7E1,0x3,wef,08:00:27:12:d5:85,2024-03-19 00:12:08,"TrackerDataBaseBlock, PropertyStoreDataBlock",,
C:\lab\Tools\JLECmd\FileServer\5d696d521de238c3.automaticDestinations-ms,2024-04-28 20:03:06,2024-04-28 20:03:06,2024-04-29 03:07:36,5d696d521de238c3,Google Chrome 9.0.597.84 / 12.0.742.100 / 13.0.785.215 / 48.0.2564.116,False,4,11,7,4,2024-03-19 00:12:08,2024-03-19 02:37:25,wef,08:00:27:12:d5:85,C:\fileshare\Design_documents\Design_20240313_PACB5630.pdf,1,False,5356afd1-e585-11ee-85d5-08002712d585,5356afd1-e585-11ee-85d5-08002712d585,79f7d2da-0178-4725-ba2f-d18f2b6bbd33,79f7d2da-0178-4725-ba2f-d18f2b6bbd33,2024-03-13 22:45:44,2024-03-13 22:45:44,2024-03-13 22:45:44,190208,,,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, IsUnicode, DisableKnownFolderTracking, AllowLinkToLink",Fixed storage media (Hard drive),360558BB,OS Drive,C:\fileshare\,Design_documents\Design_20240313_PACB5630.pdf,My Computer\C:\fileshare\Design_documents\Design_20240313_PACB5630.pdf,0x198A8,0xB,wef,08:00:27:12:d5:85,2024-03-19 00:12:08,"TrackerDataBaseBlock, PropertyStoreDataBlock",,
C:\lab\Tools\JLECmd\FileServer\5d696d521de238c3.automaticDestinations-ms,2024-04-28 20:03:06,2024-04-28 20:03:06,2024-04-29 03:07:36,5d696d521de238c3,Google Chrome 9.0.597.84 / 12.0.742.100 / 13.0.785.215 / 48.0.2564.116,False,4,11,8,3,2024-03-19 00:12:08,2024-03-19 02:37:06,wef,08:00:27:12:d5:85,C:\fileshare\CONFIDENTIAL_Client_Deliverables\Global Consulting_20240313.pdf,1,False,5356afc2-e585-11ee-85d5-08002712d585,5356afc2-e585-11ee-85d5-08002712d585,79f7d2da-0178-4725-ba2f-d18f2b6bbd33,79f7d2da-0178-4725-ba2f-d18f2b6bbd33,2024-03-13 22:52:06,2024-03-13 22:52:06,2024-03-13 22:52:06,204930,,,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, IsUnicode, DisableKnownFolderTracking, AllowLinkToLink",Fixed storage media (Hard drive),360558BB,OS Drive,C:\fileshare\,CONFIDENTIAL_Client_Deliverables\Global Consulting_20240313.pdf,My Computer\C:\fileshare\CONFIDENTIAL_Client_Deliverables\Global Consulting_20240313.pdf,0x1A7ED,0x3,wef,08:00:27:12:d5:85,2024-03-19 00:12:08,"TrackerDataBaseBlock, PropertyStoreDataBlock",,
C:\lab\Tools\JLECmd\FileServer\5d696d521de238c3.automaticDestinations-ms,2024-04-28 20:03:06,2024-04-28 20:03:06,2024-04-29 03:07:36,5d696d521de238c3,Google Chrome 9.0.597.84 / 12.0.742.100 / 13.0.785.215 / 48.0.2564.116,False,4,11,9,2,2024-03-19 00:12:08,2024-03-19 02:36:52,wef,08:00:27:12:d5:85,C:\fileshare\CONFIDENTIAL_Client_Deliverables\Precision Systems_20240313.pdf,1,False,5356afaf-e585-11ee-85d5-08002712d585,5356afaf-e585-11ee-85d5-08002712d585,79f7d2da-0178-4725-ba2f-d18f2b6bbd33,79f7d2da-0178-4725-ba2f-d18f2b6bbd33,2024-03-13 22:52:06,2024-03-13 22:52:06,2024-03-13 22:52:06,204931,,,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, IsUnicode, DisableKnownFolderTracking, AllowLinkToLink",Fixed storage media (Hard drive),360558BB,OS Drive,C:\fileshare\,CONFIDENTIAL_Client_Deliverables\Precision Systems_20240313.pdf,My Computer\C:\fileshare\CONFIDENTIAL_Client_Deliverables\Precision Systems_20240313.pdf,0x1A7EF,0x3,wef,08:00:27:12:d5:85,2024-03-19 00:12:08,"TrackerDataBaseBlock, PropertyStoreDataBlock",,
C:\lab\Tools\JLECmd\FileServer\5d696d521de238c3.automaticDestinations-ms,2024-04-28 20:03:06,2024-04-28 20:03:06,2024-04-29 03:07:36,5d696d521de238c3,Google Chrome 9.0.597.84 / 12.0.742.100 / 13.0.785.215 / 48.0.2564.116,False,4,11,10,1,2024-03-19 00:12:08,2024-03-19 02:36:15,wef,08:00:27:12:d5:85,C:\fileshare\CONFIDENTIAL_Client_Deliverables\Star Solutions_20240313.pdf,1,False,5356af76-e585-11ee-85d5-08002712d585,5356af76-e585-11ee-85d5-08002712d585,79f7d2da-0178-4725-ba2f-d18f2b6bbd33,79f7d2da-0178-4725-ba2f-d18f2b6bbd33,2024-03-13 22:52:06,2024-03-13 22:52:06,2024-03-13 22:52:06,204928,,,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, IsUnicode, DisableKnownFolderTracking, AllowLinkToLink",Fixed storage media (Hard drive),360558BB,OS Drive,C:\fileshare\,CONFIDENTIAL_Client_Deliverables\Star Solutions_20240313.pdf,My Computer\C:\fileshare\CONFIDENTIAL_Client_Deliverables\Star Solutions_20240313.pdf,0x1A7EB,0x3,wef,08:00:27:12:d5:85,2024-03-19 00:12:08,"TrackerDataBaseBlock, PropertyStoreDataBlock",,
C:\lab\Tools\JLECmd\FileServer\5f7b5f1e01b83767.automaticDestinations-ms,2024-04-28 20:03:06,2024-04-28 20:03:06,2024-04-29 03:07:37,5f7b5f1e01b83767,Quick Access,False,4,12,0,C,,2024-03-19 03:23:13,,,C:\Users\administrator\Desktop\We_have_your_filess.png,2,False,,,,,2024-03-19 03:17:31,2024-03-19 03:17:31,2024-03-19 03:17:31,27342,,,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, IsUnicode, DisableKnownFolderTracking, AllowLinkToLink",Fixed storage media (Hard drive),360558BB,OS Drive,C:\Users\administrator\Desktop\We_have_your_filess.png,,My Computer\C:\Users\administrator\Desktop\We_have_your_filess.png,0x1C017,0x2,wef,08:00:27:12:d5:85,2024-03-19 00:12:08,"TrackerDataBaseBlock, PropertyStoreDataBlock",,
C:\lab\Tools\JLECmd\FileServer\5f7b5f1e01b83767.automaticDestinations-ms,2024-04-28 20:03:06,2024-04-28 20:03:06,2024-04-29 03:07:37,5f7b5f1e01b83767,Quick Access,False,4,12,1,B,2024-03-19 00:12:08,2024-03-19 02:39:21,wef,08:00:27:12:d5:85,C:\fileshare\Taxes\daniel_b_2024-03-13.pdf,1,False,5356b018-e585-11ee-85d5-08002712d585,5356b018-e585-11ee-85d5-08002712d585,79f7d2da-0178-4725-ba2f-d18f2b6bbd33,79f7d2da-0178-4725-ba2f-d18f2b6bbd33,2024-03-13 22:28:19,2024-03-13 22:28:19,2024-03-13 22:28:19,1164,,,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, IsUnicode, DisableKnownFolderTracking, AllowLinkToLink",Fixed storage media (Hard drive),360558BB,OS Drive,C:\fileshare\,Taxes\daniel_b_2024-03-13.pdf,My Computer\C:\fileshare\Taxes\daniel_b_2024-03-13.pdf,0x1A7A4,0x3,wef,08:00:27:12:d5:85,2024-03-19 00:12:08,"TrackerDataBaseBlock, PropertyStoreDataBlock",,
C:\lab\Tools\JLECmd\FileServer\5f7b5f1e01b83767.automaticDestinations-ms,2024-04-28 20:03:06,2024-04-28 20:03:06,2024-04-29 03:07:37,5f7b5f1e01b83767,Quick Access,False,4,12,2,A,2024-03-19 00:12:08,2024-03-19 02:39:10,wef,08:00:27:12:d5:85,C:\fileshare\Taxes\jane_j_2024-03-13.pdf,1,False,5356b011-e585-11ee-85d5-08002712d585,5356b011-e585-11ee-85d5-08002712d585,79f7d2da-0178-4725-ba2f-d18f2b6bbd33,79f7d2da-0178-4725-ba2f-d18f2b6bbd33,2024-03-13 22:28:19,2024-03-13 22:28:19,2024-03-13 22:28:19,1159,,,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, IsUnicode, DisableKnownFolderTracking, AllowLinkToLink",Fixed storage media (Hard drive),360558BB,OS Drive,C:\fileshare\,Taxes\jane_j_2024-03-13.pdf,My Computer\C:\fileshare\Taxes\jane_j_2024-03-13.pdf,0x1A7AD,0x3,wef,08:00:27:12:d5:85,2024-03-19 00:12:08,"TrackerDataBaseBlock, PropertyStoreDataBlock",,
C:\lab\Tools\JLECmd\FileServer\5f7b5f1e01b83767.automaticDestinations-ms,2024-04-28 20:03:06,2024-04-28 20:03:06,2024-04-29 03:07:37,5f7b5f1e01b83767,Quick Access,False,4,12,3,9,2024-03-19 00:12:08,2024-03-19 02:38:53,wef,08:00:27:12:d5:85,C:\fileshare\Taxes\daniel_j_2024-03-13.pdf,1,False,5356b00b-e585-11ee-85d5-08002712d585,5356b00b-e585-11ee-85d5-08002712d585,79f7d2da-0178-4725-ba2f-d18f2b6bbd33,79f7d2da-0178-4725-ba2f-d18f2b6bbd33,2024-03-13 22:28:19,2024-03-13 22:28:19,2024-03-13 22:28:19,1158,,,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, IsUnicode, DisableKnownFolderTracking, AllowLinkToLink",Fixed storage media (Hard drive),360558BB,OS Drive,C:\fileshare\,Taxes\daniel_j_2024-03-13.pdf,My Computer\C:\fileshare\Taxes\daniel_j_2024-03-13.pdf,0x1A7A6,0x3,wef,08:00:27:12:d5:85,2024-03-19 00:12:08,"TrackerDataBaseBlock, PropertyStoreDataBlock",,
C:\lab\Tools\JLECmd\FileServer\5f7b5f1e01b83767.automaticDestinations-ms,2024-04-28 20:03:06,2024-04-28 20:03:06,2024-04-29 03:07:37,5f7b5f1e01b83767,Quick Access,False,4,12,4,8,2024-03-19 00:12:08,2024-03-19 02:38:33,wef,08:00:27:12:d5:85,C:\fileshare\Payroll\emily_b_2023-11-30.pdf,1,False,5356b003-e585-11ee-85d5-08002712d585,5356b003-e585-11ee-85d5-08002712d585,79f7d2da-0178-4725-ba2f-d18f2b6bbd33,79f7d2da-0178-4725-ba2f-d18f2b6bbd33,2024-03-13 22:27:57,2024-03-13 22:27:57,2024-03-13 22:27:57,17071,,,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, IsUnicode, DisableKnownFolderTracking, AllowLinkToLink",Fixed storage media (Hard drive),360558BB,OS Drive,C:\fileshare\,Payroll\emily_b_2023-11-30.pdf,My Computer\C:\fileshare\Payroll\emily_b_2023-11-30.pdf,0x1A44C,0x5,wef,08:00:27:12:d5:85,2024-03-19 00:12:08,"TrackerDataBaseBlock, PropertyStoreDataBlock",,
